sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation,activity
4251404,3245097,MLSMR,MLS000095602,MLS000095602|SMR000031153|N-(2-methoxyethyl)-2-({2-[4-(2-methoxyphenyl)piperazin-1-yl]-2-oxoethyl}thio)quinazolin-4-amine,20190115,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4254448,1151859,MLSMR,MLS000049112,MLS000049112|SMR000074423|ethyl {[4-phenyl-6-(trifluoromethyl)-2-pyrimidinyl]sulfonyl}acetate,20210728,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4254751,2959486,MLSMR,MLS000064733,"MLS000064733|SMR000077548|2-(1-piperidinyl)-7-propyl-7,8-dihydro-5H-pyrano[4,3-b]pyridine-3-carbonitrile",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4255295,829764,MLSMR,MLS000062529,"MLS000062529|SMR000073355|6-(diethylamino)-3-methyl-2H-1,4-benzoxazin-2-one",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4255661,2186107,MLSMR,MLS000088060,MLS000088060|SMR000072274|3-[(2-hydroxy-5-methylphenyl)amino]-1-(3-methoxyphenyl)-2-propen-1-one,20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4256027,2976158,MLSMR,MLS000100051,MLS000100051|SMR000081756|1-[(3-chloro-4-methoxyphenyl)sulfonyl]-N-(2-pyridinylmethyl)-3-piperidinecarboxamide,20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4256381,744061,MLSMR,MLS000099062,"MLS000099062|SMR000070066|ethyl 3-cyano-5,7-dimethylpyrazolo[1,5-a]pyrimidine-6-carboxylate",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4257064,1260914,MLSMR,MLS000051082,"MLS000051082|SMR000078947|2-(4-{[(2,5-dimethylphenyl)amino]sulfonyl}phenoxy)-N-(2-furylmethyl)acetamide",20210728,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4257201,2233093,MLSMR,MLS000100116,"MLS000100116|SMR000081897|1-[3-(5-phenyl-1,3,4-oxadiazol-2-yl)benzoyl]piperidine",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4257897,2981691,MLSMR,MLS000066566,"MLS000066566|SMR000082407|N-ethyl-2-[3-(2-methoxyethyl)-1-(3-methoxyphenyl)-2,5-dioxo-4-imidazolidinyl]acetamide",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4258029,701067,MLSMR,MLS000062663,"MLS000062663|SMR000071200|2-[(1,1-dioxido-1-benzothien-3-yl)thio]-1,3-benzothiazole",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4260180,771697,MLSMR,MLS000062189,"MLS000062189|SMR000070995|N-(2,3-dihydro-1H-inden-5-yl)-3-(4-morpholinyl)propanamide",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4260331,2162673,MLSMR,MLS000061223,"MLS000061223|SMR000070093|methyl [3-(aminocarbonyl)-4,5,6,7,8,9-hexahydrocycloocta[b]thien-2-yl]carbamate",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4260678,1253074,MLSMR,MLS000051402,"MLS000051402|SMR000079577|2-{[5-(3-chlorophenyl)-1,3,4-oxadiazol-2-yl]thio}-N-(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)acetamide",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4260875,2845811,MLSMR,MLS000061129,"MLS000061129|SMR000069641|1,1'-[(3-chlorobenzyl)imino]di(2-propanol)",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4261280,1244224,MLSMR,MLS000065598,MLS000065598|SMR000080231|N-(5-tert-butyl-3-isoxazolyl)nicotinamide,20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4261645,763443,MLSMR,MLS000099088,"MLS000099088|SMR000070478|N-[3-(1,3-benzoxazol-2-yl)phenyl]-2-methylpropanamide",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4262654,1307421,MLSMR,MLS000088315,"MLS000088315|SMR000072563|5-(2-furyl)-2-{[2-(4-morpholinyl)-2-oxoethyl]thio}-3-phenylthieno[2,3-d]pyrimidin-4(3H)-one",20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4263143,892621,MLSMR,MLS000089016,"MLS000089016|SMR000073318|4-(2,5-dimethoxyphenyl)-5-(3-hydroxyphenyl)-2,4-dihydro-3H-1,2,4-triazole-3-thione",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4264585,748054,MLSMR,MLS000062370,"methyl [1-(1,3-benzothiazol-2-yl)-5-hydroxy-1H-pyrazol-3-yl]acetate|MLS000062370|SMR000073018",20120301,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
4265314,850073,MLSMR,MLS000066667,MLS000066667|SMR000082007|4-[(5-tert-butyl-2-ethoxyphenyl)sulfonyl]morpholine,20190115,20050824,Governmental Organizations|NIH Initiatives,NULL,Inactive
7966021,892462,MLSMR,MLS000115104,MLS000115104|SMR000092333,20210728,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
7972041,2173523,MLSMR,MLS000105278,MLS000105278|SMR000102159,20120301,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
7972682,2897110,MLSMR,MLS000110117,MLS000110117|SMR000106049,20190207,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
7972998,791477,MLSMR,MLS000105243,MLS000105243|SMR000102124,20120301,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
7974202,787333,MLSMR,MLS000111150,MLS000111150|SMR000107076,20120301,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
7975574,2841077,MLSMR,MLS000105885,MLS000105885|SMR000102860,20210728,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
7977964,991372,MLSMR,MLS000106042,MLS000106042|SMR000103013,20190115,20051209,Governmental Organizations|NIH Initiatives,NULL,Inactive
14719127,900971,MLSMR,MLS000594514,"MLS000594514|4,5-dichloro-2-[2-(4-chlorophenyl)-2-oxoethyl]-3(2H)-pyridazinone|SMR000114545",20210728,20061011,Governmental Organizations|NIH Initiatives,NULL,Inactive
14721139,1173617,MLSMR,MLS000121203,"MLS000121203|SMR000118634|N-Furan-2-ylmethyl-2-{4-furan-2-ylmethyl-5-[(3-trifluoromethyl-phenylamino)-methyl]-4H-[1,2,4]triazol-3-ylsulfanyl}-acetamide",20190115,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14723612,784948,MLSMR,MLS000067630,MLS000067630|2-Fluoro-N-furan-2-ylmethyl-benzamide|SMR000115823,20120301,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14724336,3129671,MLSMR,MLS000525661,"MLS000525661|SMR000116135|1-(2,3-Dihydro-benzo[1,4]dioxin-6-yl)-4-phenyl-butan-1-one",20120301,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14726150,3136571,MLSMR,MLS000528093,MLS000528093|SMR000120667,20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14727653,5014184,MLSMR,MLS000548132,"MLS000548132|SMR000114120|N-(1,3-benzodioxol-5-ylmethyl)-1-(4-fluorophenyl)-5-oxo-3-pyrrolidinecarboxamide",20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14728059,3368501,MLSMR,MLS000550439,MLS000550439|SMR000114745|2-(5-methyl-2-furyl)-N-(2-methylphenyl)-4-quinolinecarboxamide,20120301,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14729239,1475343,MLSMR,MLS000540307,"MLS000540307|SMR000125565|2,3-dichloro-3-[(4-methoxybenzyl)sulfonyl]-N-(6-methoxy-3-pyridinyl)acrylamide",20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14731433,4272091,MLSMR,MLS000552639,MLS000552639|SMR000146154|6-Amino-5-cyano-2-(3-cyano-6-phenyl-pyridin-2-ylsulfanylmethyl)-4-pyridin-3-yl-4H-pyran-3-carboxylic  acid ethyl ester,20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14732437,2898097,MLSMR,MLS000533680,"MLS000533680|SMR000141125|1-[1,4-diphenyl-5-(2-thienyl)-4,5-dihydro-1H-1,2,4-triazol-3-yl]ethanone",20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14733678,4205241,MLSMR,MLS000519887,MLS000519887|SMR000130302,20190115,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14734221,9550584,MLSMR,MLS000520893,MLS000520893|SMR000131302,20120301,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14735741,5333955,MLSMR,MLS000533005,MLS000533005|SMR000140443|4-{2-[4-(dimethylamino)phenyl]vinyl}-1-methylpyridinium iodide,20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14736712,5737730,MLSMR,MLS000535186,"MLS000535186|SMR000142622|4-{[5-(2,4-dichlorophenyl)-2-furyl]methylene}-3-methyl-5(4H)-isoxazolone",20120301,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14739249,135400437,MLSMR,MLS000530155,MLS000530155|SMR000135132|4-hydroxy-3-[3-(2-hydroxy-3-methoxyphenyl)acryloyl]-6-methyl-2H-pyran-2-one,20190115,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14739587,2268454,MLSMR,MLS000533609,N-(3-phenylpropyl)benzamide|MLS000533609|SMR000141047,20210728,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14740080,1325504,MLSMR,MLS000530991,"MLS000530991|SMR000135969|{[7-[(2,2-dimethylpropanoyl)oxy]-6-ethyl-3-(1-methyl-1H-benzimidazol-2-yl)-4-oxo-4H-chromen-2-yl]methoxy}acetic acid",20190115,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
14742444,4681472,MLSMR,MLS000552627,MLS000552627|SMR000146142|6-Amino-5-cyano-2-(3-cyano-6-phenyl-pyridin-2-ylsulfanylmethyl)-4-(4-methoxy-phenyl)-4H-pyran-3-car boxylic acid ethyl ester,20190115,20061020,Governmental Organizations|NIH Initiatives,NULL,Inactive
17386389,5115564,MLSMR,MLS000536091,MLS000536091|SMR000155421,20210727,20061113,Governmental Organizations|NIH Initiatives,NULL,Inactive
17387076,1009410,MLSMR,MLS000537233,"MLS000537233|SMR000161134|3,4-dichlorobenzyl 5-(4-morpholinylmethyl)-4-phenyl-4H-1,2,4-triazol-3-yl sulfide",20210727,20061113,Governmental Organizations|NIH Initiatives,NULL,Inactive
17388362,4966967,MLSMR,MLS000572142,MLS000572142|SMR000151240,20120301,20061115,Governmental Organizations|NIH Initiatives,NULL,Inactive
17402822,1474462,MLSMR,MLS000546963,"MLS000546963|SMR000180161|[4,5-dichloro-6-oxo-1(6H)-pyridazinyl]methyl 4-fluorobenzenecarboxylate",20210728,20061129,Governmental Organizations|NIH Initiatives,NULL,Inactive
17402824,1474465,MLSMR,MLS000546966,"MLS000546966|[4,5-dichloro-6-oxo-1(6H)-pyridazinyl]methyl 4-methylbenzenecarboxylate|SMR000180164",20210728,20061129,Governmental Organizations|NIH Initiatives,NULL,Inactive
17403199,5760164,MLSMR,MLS000561020,"MLS000561020|SMR000176011|2-(4-Acetoxy-3-ethoxy-benzylidene)-7-methyl-3-oxo-5-styryl-2,3-dihydro-5H-thiazolo[3,2-a]pyrimidine-6-carboxylic acid ethyl ester",20190207,20061129,Governmental Organizations|NIH Initiatives,NULL,Inactive
17403562,814441,MLSMR,MLS000562289,MLS000562289|SMR000174888|2-(4-Chloro-benzyl)-5-phenyl-2H-pyrazol-3-ylamine,20210728,20061129,Governmental Organizations|NIH Initiatives,NULL,Inactive
17408257,609295,MLSMR,MLS000558397,"4-Chloro-benzo[4,5]furo[3,2-d]pyrimidine|MLS000558397|SMR000176950",20120301,20061206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17408258,603361,MLSMR,MLS000558398,"MLS000558398|SMR000176953|4-Chloro-2-methyl-benzo[4,5]furo[3,2-d]pyrimidine",20120301,20061206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17411727,9559971,MLSMR,MLS000326532,"MLS000326532|SMR000179109|ethyl 3-(2-{2-[(E)-(4-methylphenyl)methylidene]hydrazino}-2-oxoethoxy)pyrido[1,2-a]indole-10-carboxylate",20210728,20061206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17414637,887759,MLSMR,MLS000576270,MLS000576270|1-ethoxy-4-(2-nitrovinyl)naphthalene|SMR000197910,20120301,20061206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17416305,3573522,MLSMR,MLS000572484,"MLS000572484|SMR000194442|2-[(2-hydroxy-4,4-dimethyl-6-oxo-1-cyclohexen-1-yl)(2-thienyl)methyl]-5,5-dimethyl-1,3-cyclohexanedione",20210728,20061206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17503777,1829959,MLSMR,MLS000591669,MLS000591669|SMR000218692,20190115,20070206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17506753,1005277,MLSMR,MLS000574642,"MLS000574642|SMR000196070|[3-amino-6-methyl-4-(2-thienyl)thieno[2,3-b]pyridin-2-yl](4-methoxyphenyl)methanone",20210728,20070206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17508248,3146895,MLSMR,MLS000553780,MLS000553780|SMR000172224|5-Sulfamoyl-furan-2-carboxylic acid propyl ester,20120301,20070206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17510693,12005314,MLSMR,MLS000584446,"MLS000584446|SMR000207032|2-{[7-(1H-benzimidazol-2-ylthio)-4-nitro-2,1,3-benzoxadiazol-5-yl]amino}ethyl propionate",20120301,20070206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17511341,135420208,MLSMR,MLS000585919,"MLS000585919|SMR000207700|2-[(2E)-2-(5-chloro-2-hydroxybenzylidene)hydrazino]-2-oxo-N-[2-(1,1,2,2-tetrafluoroethoxy)phenyl]acetamide",20190115,20070206,Governmental Organizations|NIH Initiatives,NULL,Inactive
17513494,1527415,MLSMR,MLS000591191,MLS000591191|SMR000218006|(E)-2-Cyano-3-[5-(4-difluoromethylsulfanyl-phenyl)-furan-2-yl]-acrylic acid isopropyl ester,20210728,20070206,Governmental Organizations|NIH Initiatives,NULL,Inactive
22402988,2585205,MLSMR,MLS000334254,MLS000334254|SMR000249012,20120301,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22403676,2370680,MLSMR,MLS000375182,MLS000375182|SMR000254435,20210728,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22405274,2117079,MLSMR,MLS000394054,MLS000394054|SMR000241517,20120301,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22405301,2566108,MLSMR,MLS000334723,MLS000334723|SMR000249481,20190115,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22405452,15945051,MLSMR,MLS000391920,MLS000391920|SMR000260953,20210728,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22406568,3385684,MLSMR,MLS000416361,MLS000416361|SMR000264162,20210728,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22406729,4084629,MLSMR,MLS000393373,MLS000393373|SMR000243797,20120301,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22408394,2439209,MLSMR,MLS000336293,MLS000336293|SMR000253847,20120301,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22410682,2336835,MLSMR,MLS000336669,MLS000336669|SMR000243984,20210728,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22413135,849396,MLSMR,MLS000702799,"MLS000702799|SMR000229702|3,5,6-trichloro-1-(4-methylphenyl)-2(1H)-pyrazinone",20210728,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
22414828,1798162,MLSMR,MLS000704469,MLS000704469|SMR000231539|N-acetyl-4-[({[(2-methylphenoxy)acetyl]amino}carbothioyl)amino]benzenesulfonamide,20210728,20070305,Governmental Organizations|NIH Initiatives,NULL,Inactive
24781041,5770966,MLSMR,MLS000714572,MLS000714572|SMR000274551,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24781757,406463,MLSMR,MLS000729256,"MLS000729256|SMR000307534|1-(6,7-difluoro-3-methyl-1,4-dioxidoquinoxalin-2-yl)ethanone",20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24782113,1090196,MLSMR,MLS000706228,MLS000706228|SMR000288280,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24785452,16188836,MLSMR,MLS000727735,MLS000727735|SMR000306432|(4Z)-4-{[5-(2-bromophenyl)-2-furyl]methylene}-3-methylisoxazol-5(4H)-one,20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24789826,675202,MLSMR,MLS000708792,MLS000708792|SMR000289359,20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24791576,1389577,MLSMR,MLS000592037,"MLS000592037|SMR000218275|1-(4-Fluoro-phenyl)-5-[1-(5-methyl-thiophen-2-yl)-meth-(E)-ylidene]-2-thioxo-dihydro-pyrimidine-4,6-dione",20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24794181,6465514,MLSMR,MLS000679266,MLS000679266|SMR000297553|N-butyl-4-(3-phenyl-2-propen-1-yl)-1-piperazinecarboxamide,20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24795148,2220410,MLSMR,MLS000672518,"MLS000672518|SMR000295379|N-benzyl-2-[(3-ethyl-4-oxo-3,4,6,7,8,9-hexahydropyrimido[4,5-b]quinolin-2-yl)thio]acetamide",20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24803517,3857706,MLSMR,MLS000680537,"MLS000680537|SMR000268723|2-chloro-N-(3,5-dimethyl-1H-pyrazol-4-yl)-5-nitrobenzamide",20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24803726,727850,MLSMR,MLS000676656,"MLS000676656|SMR000298307|3-[2-[(4-hydroxyphenyl)amino]-4-oxo-1,3-thiazol-5(4H)-ylidene]-1,3-dihydro-2H-indol-2-one",20210727,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24804310,2905495,MLSMR,MLS000678728,"MLS000678728|SMR000269792|4-[(7-chloro-4-nitro-2,1,3-benzoxadiazol-5-yl)amino]-1,5-dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one",20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24805182,1104217,MLSMR,MLS000689168,MLS000689168|SMR000283259,20210727,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24806835,135455168,MLSMR,MLS000764713,MLS000764713|SMR000290318,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24808570,769903,MLSMR,MLS000766076,MLS000766076|SMR000279782,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24808697,5758845,MLSMR,MLS000710181,MLS000710181|SMR000291597,20210727,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24809073,1447917,MLSMR,MLS000706374,MLS000706374|SMR000288426,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24813276,16193971,MLSMR,MLS000720174,"MLS000720174|SMR000304703|(2E)-1-phenyl-3-[4-(3-phenyl-4,5-dihydro-1H-pyrazol-1-yl)phenyl]prop-2-en-1-one",20210727,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24817684,1474911,MLSMR,MLS000721045,"MLS000721045|SMR000335236|4,5-dibromo-2-(3,3-dimethyl-2-oxobutyl)-3(2H)-pyridazinone",20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24818849,203396,MLSMR,MLS000720563,"MLS000720563|4,5-Dibromo-2-phenyl-3(2H)-pyridazinone|SMR000336317",20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24819407,1473969,MLSMR,MLS000763622,"MLS000763622|SMR000337219|(E)-2,3-dichloro-N-(2-chlorophenyl)-3-(phenylsulfinyl)-2-propenamide",20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24820674,2766929,MLSMR,MLS000763752,"MLS000763752|SMR000334094|1-[4-(tert-butyl)phenyl]-4-chloro-6-oxo-1,6-dihydro-3-pyridazinecarbonitrile",20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24821079,1487485,MLSMR,MLS000720992,"MLS000720992|4,5-dibromo-2-(4-methylphenyl)-3(2H)-pyridazinone|SMR000335544",20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24823557,5291770,MLSMR,MLS000682115,"MLS000682115|SMR000313518|2-(5-{(Z)-[3-(2,5-dimethylphenyl)-2-imino-4-oxo-1,3-thiazolidin-5-ylidene]methyl}-2-furyl)benzoic acid",20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24824928,2121567,MLSMR,MLS000517438,MLS000517438|SMR000343479,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24824934,2430298,MLSMR,MLS001003241,MLS001003241|SMR000344702,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24826996,727631,MLSMR,MLS000517236,MLS000517236|SMR000343360,20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24827956,2407399,MLSMR,MLS001005295,MLS001005295|SMR000348642,20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24827964,2405263,MLSMR,MLS001005282,MLS001005282|SMR000348611,20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24829061,2124454,MLSMR,MLS001005386,MLS001005386|SMR000348751,20120301,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24830089,1357612,MLSMR,MLS000770824,MLS000770824|SMR000344032,20210728,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24833932,6362905,MLSMR,MLS000773474,MLS000773474|SMR000364172,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
24840064,5094436,MLSMR,MLS000770487,MLS000770487|SMR000343768,20190115,20070705,Governmental Organizations|NIH Initiatives,NULL,Inactive
